Students,Employees,Total
9,1,10
29,3,32
62,10,72
86,14,100
112,24,136
112,24,136
112,24,136
112,24,136
156,44,200
200,51,251
220,57,277
243,60,303
243,60,303
243,60,303
281,72,353
293,75,368
306,82,388
316,85,401
326,88,414
326,88,414
326,88,414
337,91,428
341,94,435
348,98,446
352,102,454
355,105,460
355,105,460
355,105,460
367,109,476
372,112,484
378,112,490
385,116,501
386,117,503
386,117,503
386,117,503
386,117,503
388,118,506
392,120,512
392,120,512
398,120,518
